Date,Julian Day,Snow Depth (cm)
"Sunday, November 26, 2017",330,0
"Monday, November 27, 2017",331,0
"Tuesday, November 28, 2017",332,0
"Wednesday, November 29, 2017",333,0
"Thursday, November 30, 2017",334,0
"Friday, December 1, 2017",335,0
"Saturday, December 2, 2017",336,0
"Sunday, December 3, 2017",337,0
"Monday, December 4, 2017",338,0
"Tuesday, December 5, 2017",339,0
"Wednesday, December 6, 2017",340,0
"Thursday, December 7, 2017",341,0.5
"Friday, December 8, 2017",342,0
"Saturday, December 9, 2017",343,0
"Sunday, December 10, 2017",344,1
"Monday, December 11, 2017",345,2
"Tuesday, December 12, 2017",346,4
"Wednesday, December 13, 2017",347,0.5
"Thursday, December 14, 2017",348,3
"Friday, December 15, 2017",349,0
"Saturday, December 16, 2017",350,0
"Sunday, December 17, 2017",351,0
"Monday, December 18, 2017",352,0
"Tuesday, December 19, 2017",353,0
"Wednesday, December 20, 2017",354,0
"Thursday, December 21, 2017",355,0
"Friday, December 22, 2017",356,6.5
"Saturday, December 23, 2017",357,0
"Sunday, December 24, 2017",358,2
"Monday, December 25, 2017",359,10.5
"Tuesday, December 26, 2017",360,2.5
"Wednesday, December 27, 2017",361,0
"Thursday, December 28, 2017",362,0.5
"Friday, December 29, 2017",363,0
"Saturday, December 30, 2017",364,2
"Sunday, December 31, 2017",365,0
"Monday, January 1, 2018",1,0
"Tuesday, January 2, 2018",2,2.5
"Wednesday, January 3, 2018",3,0
"Thursday, January 4, 2018",4,1
"Friday, January 5, 2018",5,0
"Saturday, January 6, 2018",6,0
"Sunday, January 7, 2018",7,0
"Monday, January 8, 2018",8,6
"Tuesday, January 9, 2018",9,0
"Wednesday, January 10, 2018",10,0
"Thursday, January 11, 2018",11,0
"Friday, January 12, 2018",12,0
"Saturday, January 13, 2018",13,3.5
"Sunday, January 14, 2018",14,0
"Monday, January 15, 2018",15,0
"Tuesday, January 16, 2018",16,5
"Wednesday, January 17, 2018",17,0
"Thursday, January 18, 2018",18,0
"Friday, January 19, 2018",19,0
"Saturday, January 20, 2018",20,0
"Sunday, January 21, 2018",21,0
"Monday, January 22, 2018",22,0
"Tuesday, January 23, 2018",23,0
"Wednesday, January 24, 2018",24,0.5
"Thursday, January 25, 2018",25,0
"Friday, January 26, 2018",26,0
"Saturday, January 27, 2018",27,0
"Sunday, January 28, 2018",28,0
"Monday, January 29, 2018",29,0
"Tuesday, January 30, 2018",30,9.5
"Wednesday, January 31, 2018",31,0
"Thursday, February 1, 2018",32,0.5
"Friday, February 2, 2018",33,0
"Saturday, February 3, 2018",34,0.5
"Sunday, February 4, 2018",35,8.5
"Monday, February 5, 2018",36,2.5
"Tuesday, February 6, 2018",37,0.5
"Wednesday, February 7, 2018",38,2.5
"Thursday, February 8, 2018",39,3
"Friday, February 9, 2018",40,1.5
"Saturday, February 10, 2018",41,5
"Sunday, February 11, 2018",42,0.5
"Monday, February 12, 2018",43,0
"Tuesday, February 13, 2018",44,0
"Wednesday, February 14, 2018",45,0
"Thursday, February 15, 2018",46,0
"Friday, February 16, 2018",47,0
"Saturday, February 17, 2018",48,0
"Sunday, February 18, 2018",49,0
"Monday, February 19, 2018",50,0
"Tuesday, February 20, 2018",51,0
"Wednesday, February 21, 2018",52,0
"Thursday, February 22, 2018",53,0
"Friday, February 23, 2018",54,0
"Saturday, February 24, 2018",55,0
"Sunday, February 25, 2018",56,0
"Monday, February 26, 2018",57,0
"Tuesday, February 27, 2018",58,0
"Wednesday, February 28, 2018",59,0
"Thursday, March 1, 2018",60,0
"Friday, March 2, 2018",61,2.5
"Saturday, March 3, 2018",62,0
"Sunday, March 4, 2018",63,0
"Monday, March 5, 2018",64,0
"Tuesday, March 6, 2018",65,0
"Wednesday, March 7, 2018",66,0
"Thursday, March 8, 2018",67,3
"Friday, March 9, 2018",68,1
"Saturday, March 10, 2018",69,2.5
"Sunday, March 11, 2018",70,0
"Monday, March 12, 2018",71,0
"Tuesday, March 13, 2018",72,0.5
"Wednesday, March 14, 2018",73,0
"Thursday, March 15, 2018",74,0
"Friday, March 16, 2018",75,0
"Saturday, March 17, 2018",76,0
"Sunday, March 18, 2018",77,0
"Monday, March 19, 2018",78,0
"Tuesday, March 20, 2018",79,0
"Wednesday, March 21, 2018",80,0
"Thursday, March 22, 2018",81,0
"Friday, March 23, 2018",82,0
"Saturday, March 24, 2018",83,0
"Sunday, March 25, 2018",84,0
"Monday, March 26, 2018",85,0
"Tuesday, March 27, 2018",86,0
"Wednesday, March 28, 2018",87,0
"Thursday, March 29, 2018",88,0
"Friday, March 30, 2018",89,0
"Saturday, March 31, 2018",90,0
"Sunday, April 1, 2018",91,0
"Monday, April 2, 2018",92,0
"Tuesday, April 3, 2018",93,0
"Wednesday, April 4, 2018",94,0
"Thursday, April 5, 2018",95,0
"Friday, April 6, 2018",96,0
"Saturday, April 7, 2018",97,3
"Sunday, April 8, 2018",98,0
"Monday, April 9, 2018",99,0
"Tuesday, April 10, 2018",100,0
"Wednesday, April 11, 2018",101,0
"Thursday, April 12, 2018",102,0
"Friday, April 13, 2018",103,0
"Saturday, April 14, 2018",104,3
"Sunday, April 15, 2018",105,3
"Monday, April 16, 2018",106,0
"Tuesday, April 17, 2018",107,0
"Wednesday, April 18, 2018",108,1
"Thursday, April 19, 2018",109,0
"Friday, April 20, 2018",110,0
"Saturday, April 21, 2018",111,0
"Sunday, April 22, 2018",112,0
"Monday, April 23, 2018",113,0
"Tuesday, April 24, 2018",114,0
"Wednesday, April 25, 2018",115,0
"Thursday, April 26, 2018",116,0
"Friday, April 27, 2018",117,0
"Saturday, April 28, 2018",118,0
"Sunday, April 29, 2018",119,0
"Monday, April 30, 2018",120,0
